gene,pval_spark,qval_spark,pval_spatialde,qval_spatialde,FSV,l,sig_spark,sig_spatialde,agreement
COL10A1,3.60924741205082e-08,1.72271056780534e-05,0.0003071015830643,0.0448647494531283,0.1669642932552999,0.4276241720704075,True,True,True
ERGIC3,3.61552801031451e-08,1.72271056780534e-05,0.024111313559766,0.6642838078800543,0.0719377482524047,0.1487542279755095,True,False,False
BASP1,3.89525707245042e-08,1.83779859086999e-05,3.6027000632987694e-05,0.0087389267950507,0.2305774931022111,0.0877349947292727,True,True,True
SAT1,3.98758146502587e-08,1.86309201770571e-05,0.0179312093816801,0.5887002838861018,0.1230440358256339,0.0877349947292727,True,False,False
CD24,4.0943842205543e-08,1.89459862026292e-05,0.7586591166600627,0.974739246369655,0.0111886928439115,0.0877349947292727,True,False,False
RPS27,4.15920562435446e-08,1.90626403323533e-05,0.1184161938003495,0.974739246369655,0.0871050112420998,0.1487542279755095,True,False,False
RPL10,4.70483194625615e-08,2.13599489906326e-05,0.9747391916773288,0.974739246369655,2.060163062336065e-09,0.0180004541438273,True,False,False
SCAND1,4.86696910551032e-08,2.18895469457594e-05,0.0749126267142298,0.974739246369655,0.0713048157049388,0.1487542279755095,True,False,False
IFI6,5.16081244406053e-08,2.2996210838735e-05,0.0035500487604871,0.2453732627141008,0.1486410632683977,0.1487542279755095,True,False,False
MXRA5,6.0353664066426e-08,2.66464344503406e-05,0.0028636860885835,0.2140438857838968,0.0930315762981639,0.252212021085435,True,False,False
HSP90AA1,6.53921740090269e-08,2.86084976661013e-05,0.0794200971907888,0.974739246369655,0.0713403052413056,0.1487542279755095,True,False,False
TAX1BP1,7.0624540882136e-08,3.06192550234257e-05,0.0017597186566199,0.1615924503536145,0.2842251553987702,0.0517459530724249,True,False,False
SSR4,8.94619744951086e-08,3.84399149120974e-05,0.0477405499767754,0.8457153901151796,0.4579824496586524,0.0305196765285746,True,False,False
COPA,9.52804179998878e-08,4.05776761247061e-05,0.2007229022335735,0.974739246369655,0.0313337426155281,0.252212021085435,True,False,False
HMCN1,1.04730597416669e-07,4.42110358848627e-05,3.5329910810455445e-05,0.0087346410265233,0.1710917437170778,0.1487542279755095,True,True,True
LGALS3,1.21805616370985e-07,5.09719718515412e-05,0.0319806915302131,0.729136173984424,0.0854358374797722,0.1487542279755095,True,False,False
TCEB2,1.49067223675914e-07,6.18423714407651e-05,0.1505474195971003,0.974739246369655,0.0393329071811864,0.1487542279755095,True,False,False
RPL13A,1.57472973549844e-07,6.47712275253048e-05,0.0601439482938881,0.9130555784810842,0.0702791395363011,0.1487542279755095,True,False,False
LRRC15,1.85180198508661e-07,7.55221767850853e-05,0.0002777166049439,0.0421632309950275,0.132900578561642,0.252212021085435,True,True,True
ADAMTS2,2.13973736284956e-07,8.65317466227421e-05,0.0002960009348601,0.0437400921673806,0.1504177931469037,0.1487542279755095,True,True,True
ADIRF,2.19405979273724e-07,8.798916046674e-05,0.0424545591763576,0.8134065764102145,0.0627677531140434,0.252212021085435,True,False,False
RPL27A,2.23860606052284e-07,8.90336680585152e-05,0.0771050787236924,0.974739246369655,0.0948464839212856,0.0877349947292727,True,False,False
CALD1,2.50513169208766e-07,9.88172336252302e-05,0.0019607013687751,0.1703160594390073,0.1712671398684627,0.0877349947292727,True,False,False
SELM,2.85514809128529e-07,0.0001117083119065,0.0625944631698965,0.9244574205181828,0.0906725164759369,0.0877349947292727,True,False,False
EEF1A1,3.00938238884108e-07,0.0001167932251086,0.085690709614436,0.974739246369655,0.1026849160970314,0.0877349947292727,True,False,False
C3,3.30053025132671e-07,0.0001270678453685,0.0007106500941709,0.0887001709772956,0.3178125432437912,0.0517459530724249,True,False,False
PSMD8,3.4236947521471e-07,0.0001307634749726,0.0834253795853882,0.974739246369655,0.0785810736975248,0.1487542279755095,True,False,False
CCDC80,3.4818005523185e-07,0.0001319356405968,8.739493199272363e-05,0.0172853730107454,0.2108678195660492,0.1487542279755095,True,True,True
EIF4G1,3.80427968016406e-07,0.0001430291076499,0.1006090560036345,0.974739246369655,0.0608002315002589,0.1487542279755095,True,False,False
MMP11,3.88965776476624e-07,0.0001439892269499,0.0009807459381908,0.1106006121173836,0.2075117920785417,0.0877349947292727,True,False,False
IGFBP7,3.88697805053795e-07,0.0001439892269499,0.0064800882600674,0.344103237279469,0.0916204891027492,0.1487542279755095,True,False,False
RPL19,4.03569693885331e-07,0.0001482549528107,0.0035730551526621,0.2456427649338215,0.1869586478037513,0.0877349947292727,True,False,False
H3F3A,4.14154057826188e-07,0.0001509906138907,0.1210895085686452,0.974739246369655,0.0778303008422319,0.0877349947292727,True,False,False
GNB2L1,4.30655039518335e-07,0.0001558259753455,0.1077479532609083,0.974739246369655,0.0641219928514656,0.1487542279755095,True,False,False
C1S,4.45935142590059e-07,0.0001601507075577,0.0001739879806931,0.0286767882024462,0.1033700504122515,0.252212021085435,True,True,True
NDUFA13,4.6291854871594e-07,0.0001650185533819,0.1014974773502609,0.974739246369655,0.0494576014157722,0.1487542279755095,True,False,False
CISD3,5.24823165370947e-07,0.0001857103246014,0.5610039253279813,0.974739246369655,0.0161667174981189,0.1487542279755095,True,False,False
EVA1B,5.48626605700875e-07,0.0001927162156887,0.0603684848871283,0.9130555784810842,0.0469601628175094,0.252212021085435,True,False,False
